text,label,start,end,doc_id,filename
net-zero,CARDINAL,70,78,doc_001,Ammonia White Paper
CCS Carbon,ORG,230,240,doc_001,Ammonia White Paper
CCUS Carbon,PRODUCT,261,272,doc_001,Ammonia White Paper
CH,ORG,306,308,doc_001,Ammonia White Paper
CO 2e Carbon,PRODUCT,355,367,doc_001,Ammonia White Paper
HFO Heavy,PRODUCT,387,396,doc_001,Ammonia White Paper
1018,DATE,420,424,doc_001,Ammonia White Paper
FS Flow,ORG,432,439,doc_001,Ammonia White Paper
FSS Fuel,ORG,447,455,doc_001,Ammonia White Paper
FVT Fuel,ORG,470,478,doc_001,Ammonia White Paper
GHG Greenhouse,ORG,491,505,doc_001,Ammonia White Paper
109,CARDINAL,525,528,doc_001,Ammonia White Paper
HP High,PRODUCT,555,562,doc_001,Ammonia White Paper
LGI Liquid,ORG,572,582,doc_001,Ammonia White Paper
LH 2 Liquid,WORK_OF_ART,597,608,doc_001,Ammonia White Paper
LNG,ORG,618,621,doc_001,Ammonia White Paper
MGO Marine,ORG,710,720,doc_001,Ammonia White Paper
NG Natural,ORG,764,774,doc_001,Ammonia White Paper
NH,ORG,818,820,doc_001,Ammonia White Paper
"3 Ammonia
PEM Proton",PRODUCT,821,841,doc_001,Ammonia White Paper
PV Photovoltaic,FAC,882,897,doc_001,Ammonia White Paper
Selective,NORP,931,940,doc_001,Ammonia White Paper
SMR Steam,ORG,962,971,doc_001,Ammonia White Paper
fig,ORG,1087,1090,doc_001,Ammonia White Paper
zero,CARDINAL,1480,1484,doc_001,Ammonia White Paper
Christian Rufer,PERSON,1652,1667,doc_001,Ammonia White Paper
Schweiz AG,PERSON,1691,1701,doc_001,Ammonia White Paper
Zurich,GPE,1703,1709,doc_001,Ammonia White Paper
Switzerland,GPE,1711,1722,doc_001,Ammonia White Paper
Business Development,ORG,1757,1779,doc_001,Ammonia White Paper
October 2024,DATE,1792,1804,doc_001,Ammonia White Paper
net-zero,CARDINAL,1870,1878,doc_001,Ammonia White Paper
2050,DATE,1893,1897,doc_001,Ammonia White Paper
Zero,CARDINAL,2989,2993,doc_001,Ammonia White Paper
12,CARDINAL,3059,3061,doc_001,Ammonia White Paper
16,CARDINAL,3102,3104,doc_001,Ammonia White Paper
19,CARDINAL,3116,3118,doc_001,Ammonia White Paper
21,CARDINAL,3127,3129,doc_001,Ammonia White Paper
22,CARDINAL,3159,3161,doc_001,Ammonia White Paper
net-zero,CARDINAL,3203,3211,doc_001,Ammonia White Paper
Nitrogen,ORG,3260,3268,doc_001,Ammonia White Paper
18.6,CARDINAL,3998,4002,doc_001,Ammonia White Paper
nearly 70 %,PERCENT,4397,4408,doc_001,Ammonia White Paper
about 3 %,PERCENT,4464,4473,doc_001,Ammonia White Paper
2020 2025,DATE,4918,4927,doc_001,Ammonia White Paper
2030 2035 2040,DATE,4928,4942,doc_001,Ammonia White Paper
2045 2050800,DATE,4943,4955,doc_001,Ammonia White Paper
2020,DATE,5197,5201,doc_001,Ammonia White Paper
"approximately 183 million metric 
tons",QUANTITY,5230,5268,doc_001,Ammonia White Paper
IRENA & AEA 2022,ORG,5274,5290,doc_001,Ammonia White Paper
over 290,CARDINAL,6079,6087,doc_001,Ammonia White Paper
IRENA & AEA 2022,ORG,6145,6161,doc_001,Ammonia White Paper
2023,CARDINAL,6167,6171,doc_001,Ammonia White Paper
net-zero,CARDINAL,6707,6715,doc_001,Ammonia White Paper
zero,CARDINAL,6721,6725,doc_001,Ammonia White Paper
Zero,CARDINAL,7057,7061,doc_001,Ammonia White Paper
MAN Energy Solutions,ORG,7428,7448,doc_001,Ammonia White Paper
two,CARDINAL,7593,7596,doc_001,Ammonia White Paper
four,CARDINAL,7608,7612,doc_001,Ammonia White Paper
up to 26,CARDINAL,7655,7663,doc_001,Ammonia White Paper
44 %,PERCENT,7941,7945,doc_001,Ammonia White Paper
2050,DATE,7979,7983,doc_001,Ammonia White Paper
"about 200 
million tons",QUANTITY,8025,8048,doc_001,Ammonia White Paper
2050,DATE,8083,8087,doc_001,Ammonia White Paper
Raucci,PERSON,8093,8099,doc_001,Ammonia White Paper
2023,DATE,8107,8111,doc_001,Ammonia White Paper
Tab,PERSON,8114,8117,doc_001,Ammonia White Paper
fuelsPropertyAmmonia,GPE,8145,8165,doc_001,Ammonia White Paper
LNG)Heavy,NORP,8228,8237,doc_001,Ammonia White Paper
CH,ORG,8264,8266,doc_001,Ammonia White Paper
18.6 42.7,CARDINAL,8351,8360,doc_001,Ammonia White Paper
19.9,CARDINAL,8369,8373,doc_001,Ammonia White Paper
46 120,CARDINAL,8374,8380,doc_001,Ammonia White Paper
"36,500",CARDINAL,8425,8431,doc_001,Ammonia White Paper
"26,700",CARDINAL,8439,8445,doc_001,Ammonia White Paper
MGO,ORG,8470,8473,doc_001,Ammonia White Paper
100 %,PERCENT,8476,8481,doc_001,Ammonia White Paper
280 %,PERCENT,8482,8487,doc_001,Ammonia White Paper
100 %,PERCENT,8488,8493,doc_001,Ammonia White Paper
170 %,PERCENT,8494,8499,doc_001,Ammonia White Paper
97 %,PERCENT,8500,8504,doc_001,Ammonia White Paper
240 %,PERCENT,8505,8510,doc_001,Ammonia White Paper
130 %,PERCENT,8511,8516,doc_001,Ammonia White Paper
420 %,PERCENT,8517,8522,doc_001,Ammonia White Paper
651 250,CARDINAL,8612,8619,doc_001,Ammonia White Paper
400,CARDINAL,8636,8639,doc_001,Ammonia White Paper
7.2,CARDINAL,8681,8684,doc_001,Ammonia White Paper
40 36,DATE,8685,8690,doc_001,Ammonia White Paper
34 37- 43,DATE,8696,8705,doc_001,Ammonia White Paper
265,CARDINAL,8709,8712,doc_001,Ammonia White Paper
325,CARDINAL,8715,8718,doc_001,Ammonia White Paper
kg CO 2,PERSON,8734,8741,doc_001,Ammonia White Paper
63,DATE,8761,8763,doc_001,Ammonia White Paper
zero,CARDINAL,8793,8797,doc_001,Ammonia White Paper
2 %,PERCENT,8879,8882,doc_001,Ammonia White Paper
0.1- 0.5,CARDINAL,8883,8891,doc_001,Ammonia White Paper
3 %,PERCENT,8898,8901,doc_001,Ammonia White Paper
0.5,CARDINAL,8911,8914,doc_001,Ammonia White Paper
Pros,PERSON,9266,9270,doc_001,Ammonia White Paper
CO 2,PRODUCT,9415,9419,doc_001,Ammonia White Paper
